"treat.events","treat.total","cont.events","cont.total","trial","corticosteroid"
0,9,2,11,"ARCHITECTS","yes"
0,0,0,0,"ARCHITECTS","no"
0,0,0,0,"BACC-Bay","yes"
9,158,4,81,"BACC-Bay","no"
1,10,3,12,"CORIMUNO-TOCI-1","yes"
6,53,5,55,"CORIMUNO-TOCI-1","no"
4,8,2,4,"CORIMUNO-TOCI-ICU","yes"
4,41,8,39,"CORIMUNO-TOCI-ICU","no"
6,48,3,42,"COV-AID","yes"
3,33,4,30,"COV-AID","no"
14,56,12,41,"COVACTA","yes"
44,238,16,103,"COVACTA","no"
0,6,1,2,"COVIDOSE2-SS-A","yes"
0,13,1,6,"COVIDOSE2-SS-A","no"
24,200,11,112,"EMPACTA","yes"
2,49,0,16,"EMPACTA","no"
10,31,8,15,"HMO-020-0224","yes"
1,6,0,2,"HMO-020-0224","no"
2,21,2,26,"ImmCoVA","yes"
0,0,0,0,"ImmCoVA","no"
20,159,32,167,"PreToVid","yes"
1,11,2,11,"PreToVid","no"
482,1664,600,1721,"RECOVERY","yes"
139,357,127,367,"RECOVERY","no"
53,214,73,217,"REMAP-CAP","yes"
30,127,41,129,"REMAP-CAP","no"
69,358,39,181,"REMDACTA","yes"
9,72,2,29,"REMDACTA","no"
8,31,5,34,"TOCIBRAS","yes"
6,34,1,30,"TOCIBRAS","no"
